,Date,Reading
0,2018-08-01,26938.778186982578
1,2018-08-02,26958.433826090666
2,2018-08-03,26978.2480559676
3,2018-08-04,26998.052785083302
4,2018-08-05,27017.808958558584
5,2018-08-06,27037.50775100754
6,2018-08-07,27057.147417186738
7,2018-08-08,27076.727868387778
8,2018-08-09,27096.24940176503
9,2018-08-10,27115.712402647645
10,2018-08-11,27135.117274810338
11,2018-08-12,27154.46442415216
12,2018-08-13,27173.75425488802
13,2018-08-14,27192.987168671698
14,2018-08-15,27212.163564405564
15,2018-08-16,27231.28383821107
16,2018-08-17,27250.348383436813
17,2018-08-18,27269.35759067529
18,2018-08-19,27288.311847781588
19,2018-08-20,27307.21153989243
20,2018-08-21,27326.057049445182
21,2018-08-22,27344.848756196778
22,2018-08-23,27363.587037242487
23,2018-08-24,27382.272267034583
24,2018-08-25,27400.90481740086
25,2018-08-26,27419.485057563033
26,2018-08-27,27438.013354155002
27,2018-08-28,27456.490071240984
28,2018-08-29,27474.915570333527
29,2018-08-30,27493.290210411404
30,2018-08-31,27511.614347937353
31,2018-09-01,27529.88833687573
32,2018-09-02,27548.112528710004
33,2018-09-03,27566.287272460155
34,2018-09-04,27584.412914699937
35,2018-09-05,27602.48979957402
36,2018-09-06,27620.51826881503
37,2018-09-07,27638.498661760434
38,2018-09-08,27656.431315369337
39,2018-09-09,27674.316564239154
40,2018-09-10,27692.15474062216
41,2018-09-11,27709.946174441928
42,2018-09-12,27727.69119330964
43,2018-09-13,27745.390122540317
44,2018-09-14,27763.04328516889
45,2018-09-15,27780.65100196619
46,2018-09-16,27798.21359145482
47,2018-09-17,27815.731369924906
48,2018-09-18,27833.20465144975
49,2018-09-19,27850.633747901356
50,2018-09-20,27868.018968965876
51,2018-09-21,27885.360622158918
52,2018-09-22,27902.65901284076
53,2018-09-23,27919.914444231457
54,2018-09-24,27937.127217425852
55,2018-09-25,27954.29763140845
56,2018-09-26,27971.425983068235
57,2018-09-27,27988.51256721333
58,2018-09-28,28005.5576765856
59,2018-09-29,28022.561601875128
60,2018-09-30,28039.5246317346
61,2018-10-01,28056.447052793577
62,2018-10-02,28073.32914967268
63,2018-10-03,28090.171204997674
64,2018-10-04,28106.973499413438
65,2018-10-05,28123.736311597862
66,2018-10-06,28140.45991827562
67,2018-10-07,28157.144594231875
68,2018-10-08,28173.790612325854
69,2018-10-09,28190.39824350437
70,2018-10-10,28206.9677568152
71,2018-10-11,28223.499419420416
72,2018-10-12,28239.993496609593
73,2018-10-13,28256.45025181293
74,2018-10-14,28272.86994661429
75,2018-10-15,28289.252840764133
76,2018-10-16,28305.59919219237
77,2018-10-17,28321.909257021125
78,2018-10-18,28338.1832895774
79,2018-10-19,28354.421542405657
80,2018-10-20,28370.62426628032
81,2018-10-21,28386.79171021817
82,2018-10-22,28402.924121490672
83,2018-10-23,28419.021745636204
84,2018-10-24,28435.084826472204
85,2018-10-25,28451.113606107236
86,2018-10-26,28467.108324952955
87,2018-10-27,28483.069221736016
88,2018-10-28,28498.996533509875
89,2018-10-29,28514.890495666517
90,2018-10-30,28530.751341948107
91,2018-10-31,28546.57930445854
